Record_ID,Date,Units_Sold,Price,Revenue,Cost,Profit,Price_Zscore,Is_Outlier,Is_Loss,Is_Zero_Units,Profit_Margin_Pct,Price_Tier,Unit_Tier,Model_ID,Region_ID
509,2023-10-02,8.0,52100.0,416800.0,294901.44,121898.56,-0.15323748916546223,0,0,0,0.2924629558541267,45K-60K,4-8,1,1
1435,2024-12-27,7.0,52300.0,366100.0,260809.37,105290.63,-0.14252766701506392,0,0,0,0.28760073750341436,45K-60K,4-8,1,1
915,2024-04-13,3.0,74400.0,223200.0,161471.44,61728.56,0.21362798777171255,0,0,0,0.2765616487455197,60K-80K,0-4,2,2
1550,2025-02-17,5.0,75000.0,375000.0,271360.26,103639.74,0.23733996029757615,0,0,0,0.27637264,60K-80K,4-8,2,1
1592,2025-03-07,3.0,70200.0,210600.0,151545.61,59054.39,0.0476441800906673,0,0,0,0.28041020892687557,60K-80K,0-4,2,3
1418,2024-12-21,9.0,57900.0,521100.0,372545.11,148554.89,0.1573473531960892,0,0,0,0.285079428132796,45K-60K,8-12,1,3
1900,2025-07-29,5.0,73500.0,367500.0,256191.48,111308.52,0.5526824884374427,0,0,0,0.30288032653061225,60K-80K,4-8,3,2
707,2024-01-02,4.0,138300.0,553200.0,387139.06,166060.94,1.5700830717402425,0,0,0,0.30018246565437456,110K-145K,0-4,4,4
73,2023-02-07,5.0,68300.0,341500.0,236347.24,105152.76,-0.027443732907900788,0,0,0,0.30791437774524155,60K-80K,4-8,2,1
569,2023-10-28,6.0,46600.0,279600.0,199385.97,80214.03,-1.2414653504662685,0,0,0,0.2868885193133047,45K-60K,4-8,5,2
1172,2024-08-24,6.0,38900.0,233400.0,177110.88,56289.12,-0.03991622401074496,0,0,0,0.24117017994858614,30K-45K,4-8,6,4
272,2023-06-05,9.0,52300.0,470700.0,339144.83,131555.17,-0.14252766701506392,0,0,0,0.27948835776503084,45K-60K,8-12,1,2
2079,2025-10-28,6.0,63600.0,381600.0,275629.59,105970.41,-1.1059998792165693,0,0,0,0.2777002358490566,60K-80K,4-8,3,4
1712,2025-05-01,5.0,57900.0,289500.0,211847.41,77652.59,0.1573473531960892,0,0,0,0.26823001727115714,45K-60K,4-8,1,1
1116,2024-07-29,6.0,47300.0,283800.0,203619.75,80180.25,-1.02264591818984,0,0,0,0.2825237843551797,45K-60K,4-8,5,4
1555,2025-02-20,3.0,66000.0,198000.0,143467.5,54532.5,-0.11833962759037794,0,0,0,0.27541666666666664,60K-80K,0-4,2,4
650,2023-12-06,5.0,52900.0,264500.0,188257.27,76242.73,0.7279095400215886,0,0,0,0.28825228733459357,45K-60K,4-8,5,3
1031,2024-06-16,2.0,87600.0,175200.0,120619.32,54580.68,-0.522848642748541,0,0,0,0.3115335616438356,80K-110K,0-4,7,2
2087,2025-11-04,8.0,72100.0,576800.0,416741.29,160058.71,0.3181213455368754,0,0,0,0.27749429611650483,60K-80K,4-8,3,1
503,2023-09-29,5.0,120100.0,600500.0,397207.99,203292.01,-0.992353591280766,0,0,0,0.33853790174854287,110K-145K,4-8,4,3
783,2024-02-10,2.0,75200.0,150400.0,107654.43,42745.57,0.8375067333881316,0,0,0,0.2842125664893617,60K-80K,0-4,3,2
2190,2025-12-27,1.0,161500.0,161500.0,103372.63,58127.37,0.4430146626089168,0,0,0,0.3599217956656347,145K+,0-4,8,3
1591,2025-03-06,6.0,78000.0,468000.0,323311.94,144688.06,1.3066290191892664,0,0,0,0.30916252136752137,60K-80K,4-8,3,1
872,2024-03-27,7.0,65900.0,461300.0,329355.74,131944.26,-0.12229162301135521,0,0,0,0.2860270106221548,60K-80K,4-8,2,4
394,2023-08-09,3.0,62500.0,187500.0,132893.12,54606.88,-1.290297920067015,0,0,0,0.2912366933333333,60K-80K,0-4,3,2
363,2023-07-27,3.0,60800.0,182400.0,128356.28,54043.72,-0.32384338948119584,0,0,0,0.29629232456140353,60K-80K,0-4,2,4
877,2024-03-29,9.0,56900.0,512100.0,370433.31,141666.69,0.10379824244409756,0,0,0,0.2766387229056825,45K-60K,8-12,1,3
226,2023-05-11,3.0,70300.0,210900.0,150453.71,60446.29,0.01654273323614592,0,0,0,0.28661114272166904,60K-80K,0-4,3,3
1171,2024-08-23,4.0,49400.0,197600.0,145413.26,52186.74,-0.2978200881958396,0,0,0,0.26410293522267203,45K-60K,0-4,1,3
910,2024-04-11,6.0,55000.0,330000.0,239680.75,90319.25,1.3843678368508743,0,0,0,0.27369469696969695,45K-60K,4-8,5,2
966,2024-05-12,5.0,71200.0,356000.0,247617.08,108382.92,0.16733203938651064,0,0,0,0.30444640449438204,60K-80K,4-8,3,3
819,2024-02-26,4.0,38000.0,152000.0,115003.81,36996.19,-0.07214918711144623,0,0,0,0.24339598684210528,30K-45K,0-4,6,2
847,2024-03-11,3.0,73600.0,220800.0,161172.77,59627.23,0.1820120244038944,0,0,0,0.2700508605072464,60K-80K,0-4,2,1
1070,2024-07-09,7.0,54800.0,383600.0,284339.27,99260.73,1.321847999057609,0,0,0,0.25876102711157456,45K-60K,4-8,5,3
78,2023-02-10,5.0,58300.0,291500.0,204118.75,87381.25,0.17876699749688585,0,0,0,0.2997641509433962,45K-60K,4-8,1,1
258,2023-05-26,4.0,54800.0,219200.0,154555.22,64644.78,-0.008654890135084846,0,0,0,0.29491231751824815,45K-60K,0-4,1,3
471,2023-09-15,3.0,66900.0,200700.0,143587.19,57112.81,-0.553105756665232,0,0,0,0.2845680617837568,60K-80K,0-4,3,2
259,2023-05-26,5.0,69200.0,346000.0,246072.04,99927.96,0.008124225880894623,0,0,0,0.2888091329479769,60K-80K,4-8,2,1
441,2023-08-31,3.0,36300.0,108900.0,79145.56,29754.44,-0.1330336729683264,0,0,0,0.27322718089990816,30K-45K,0-4,6,4
