Record_ID,Date,Model,Region,Units_Sold,Price,Revenue,Cost,Profit
1,2023-01-01,Mercedes GLC,West,9,51000,459000.0,337908.81,121091.19
2,2023-01-01,Mercedes A-Class,West,3,34600,103800.0,75602.75,28197.25
3,2023-01-02,Mercedes GLC,East,4,59200,236800.0,172390.92,64409.08
4,2023-01-03,Mercedes GLC,North,5,58800,294000.0,211939.24,82060.76
5,2023-01-03,Mercedes GLS,East,1,93000,93000.0,65593.58,27406.42
6,2023-01-04,Mercedes G-Class,West,1,143400,143400.0,96214.19,47185.81
7,2023-01-05,Mercedes GLE,East,4,71700,286800.0,197941.09,88858.91
8,2023-01-05,Mercedes GLC,North,2,56900,113800.0,82249.37,31550.63
9,2023-01-05,Mercedes S-Class,West,2,136500,273000.0,190860.3,82139.7
10,2023-01-06,Mercedes GLC,South,2,58400,116800.0,85717.97,31082.03
11,2023-01-07,Mercedes C-Class,North,5,55500,277500.0,202581.51,74918.49
12,2023-01-08,Mercedes A-Class,West,6,40000,240000.0,179703.3,60296.7
13,2023-01-08,Mercedes GLC,North,6,53100,318600.0,226773.74,91826.26
14,2023-01-08,Mercedes S-Class,South,1,131000,131000.0,87576.85,43423.15
15,2023-01-08,Mercedes GLE,North,4,71000,284000.0,205203.7,78796.3
16,2023-01-08,Mercedes A-Class,West,7,37500,262500.0,196198.81,66301.19
17,2023-01-09,Mercedes E-Class,North,2,69400,138800.0,97153.47,41646.53
18,2023-01-11,Mercedes S-Class,West,2,125400,250800.0,165971.66,84828.34
19,2023-01-11,Mercedes GLS,East,5,91100,455500.0,324325.35,131174.65
20,2023-01-11,Mercedes GLE,West,2,76900,153800.0,111462.03,42337.97
21,2023-01-12,Mercedes A-Class,West,5,36900,184500.0,134239.0,50261.0
22,2023-01-13,Mercedes C-Class,South,1,45700,45700.0,32542.25,13157.75
23,2023-01-14,Mercedes C-Class,West,7,47700,333900.0,247875.94,86024.06
24,2023-01-14,Mercedes GLC,West,5,52400,262000.0,184607.18,77392.82
25,2023-01-14,Mercedes E-Class,East,2,72100,144200.0,103095.29,41104.71
26,2023-01-14,Mercedes E-Class,West,4,67300,269200.0,194603.58,74596.42
27,2023-01-15,Mercedes GLE,East,4,65100,260400.0,188737.05,71662.95
28,2023-01-15,Mercedes E-Class,West,3,70700,212100.0,148421.02,63678.98
29,2023-01-15,Mercedes GLC,North,6,55900,335400.0,244899.65,90500.35
30,2023-01-16,Mercedes E-Class,East,5,67700,338500.0,242533.29,95966.71
31,2023-01-16,Mercedes GLC,North,6,54900,329400.0,237190.78,92209.22
32,2023-01-16,Mercedes GLE,West,2,77000,154000.0,111078.33,42921.67
33,2023-01-17,Mercedes GLS,East,1,84900,84900.0,58479.83,26420.17
34,2023-01-18,Mercedes GLE,South,2,62200,124400.0,86884.7,37515.3
35,2023-01-18,Mercedes E-Class,North,5,61000,305000.0,218506.55,86493.45
36,2023-01-18,Mercedes GLE,West,3,74300,222900.0,162688.85,60211.15
37,2023-01-19,Mercedes E-Class,West,3,61700,185100.0,130280.84,54819.16
38,2023-01-19,Mercedes A-Class,East,5,41000,205000.0,154083.3,50916.7
39,2023-01-21,Mercedes S-Class,South,1,132900,132900.0,90464.23,42435.77
40,2023-01-21,Mercedes GLS,North,3,98100,294300.0,207889.59,86410.41
41,2023-01-21,Mercedes A-Class,North,4,35800,143200.0,107647.34,35552.66
42,2023-01-21,Mercedes GLE,North,2,68700,137400.0,99758.31,37641.69
43,2023-01-22,Mercedes GLS,South,2,85000,170000.0,120158.01,49841.99
44,2023-01-22,Mercedes GLS,South,3,92500,277500.0,193089.7,84410.3
45,2023-01-22,Mercedes A-Class,West,6,39900,239400.0,181029.83,58370.17
46,2023-01-24,Mercedes GLE,South,3,66200,198600.0,139072.89,59527.11
47,2023-01-24,Mercedes E-Class,East,3,69500,208500.0,148238.36,60261.64
48,2023-01-24,Mercedes GLC,East,7,53800,376600.0,275239.76,101360.24
49,2023-01-25,Mercedes GLC,South,2,51400,102800.0,75555.13,27244.87
50,2023-01-25,Mercedes S-Class,West,3,126800,380400.0,258864.44,121535.56
51,2023-01-26,Mercedes A-Class,East,4,39600,158400.0,118343.36,40056.64
52,2023-01-26,Mercedes A-Class,West,7,37700,263900.0,199037.72,64862.28
53,2023-01-26,Mercedes E-Class,North,3,68900,206700.0,143181.46,63518.54
54,2023-01-26,Mercedes A-Class,West,4,35300,141200.0,102391.12,38808.88
55,2023-01-26,Mercedes E-Class,North,7,64500,451500.0,320262.92,131237.08
56,2023-01-27,Mercedes C-Class,East,7,53200,372400.0,267429.19,104970.81
57,2023-01-29,Mercedes GLS,West,4,86900,347600.0,247550.72,100049.28
58,2023-01-30,Mercedes C-Class,North,3,49100,147300.0,106391.64,40908.36
59,2023-01-30,Mercedes GLE,North,3,77200,231600.0,162966.24,68633.76
60,2023-01-31,Mercedes GLS,North,2,99400,198800.0,142550.47,56249.53
61,2023-01-31,Mercedes A-Class,West,4,41400,165600.0,125526.11,40073.89
62,2023-01-31,Mercedes E-Class,West,1,73100,73100.0,51169.77,21930.23
63,2023-02-01,Mercedes S-Class,West,1,119200,119200.0,82063.87,37136.13
64,2023-02-01,Mercedes C-Class,North,2,45500,91000.0,65033.44,25966.56
65,2023-02-02,Mercedes S-Class,East,3,115200,345600.0,235721.92,109878.08
66,2023-02-03,Mercedes E-Class,West,2,61900,123800.0,89669.09,34130.91
67,2023-02-03,Mercedes GLE,West,5,70300,351500.0,246757.7,104742.3
68,2023-02-03,Mercedes GLS,South,2,80700,161400.0,110113.89,51286.11
69,2023-02-03,Mercedes E-Class,South,6,61000,366000.0,263128.43,102871.57
70,2023-02-03,Mercedes A-Class,North,3,41200,123600.0,89916.68,33683.32
71,2023-02-06,Mercedes GLC,West,7,59400,415800.0,306277.27,109522.73
72,2023-02-06,Mercedes GLE,South,6,62100,372600.0,258832.97,113767.03
73,2023-02-07,Mercedes E-Class,West,5,68300,341500.0,236347.24,105152.76
74,2023-02-08,Mercedes GLE,East,2,72000,144000.0,102235.41,41764.59
75,2023-02-08,Mercedes GLE,South,4,63900,255600.0,176557.99,79042.01
76,2023-02-08,Mercedes E-Class,West,3,64000,192000.0,139879.49,52120.51
77,2023-02-09,Mercedes E-Class,East,4,74800,299200.0,215805.97,83394.03
78,2023-02-10,Mercedes GLC,West,5,58300,291500.0,204118.75,87381.25
79,2023-02-10,Mercedes GLC,South,5,55000,275000.0,203365.5,71634.5
80,2023-02-11,Mercedes C-Class,East,4,53400,213600.0,158394.97,55205.03
81,2023-02-12,Mercedes GLC,North,7,59600,417200.0,299718.1,117481.9
82,2023-02-12,Mercedes E-Class,South,3,61700,185100.0,127819.34,57280.66
83,2023-02-13,Mercedes GLE,West,1,72300,72300.0,52504.92,19795.08
84,2023-02-13,Mercedes GLS,South,2,88000,176000.0,122425.23,53574.77
85,2023-02-14,Mercedes G-Class,North,2,160600,321200.0,213926.14,107273.86
86,2023-02-14,Mercedes C-Class,West,4,53500,214000.0,160015.06,53984.94
87,2023-02-14,Mercedes E-Class,South,2,62100,124200.0,89522.89,34677.11
88,2023-02-15,Mercedes A-Class,North,4,41000,164000.0,122309.05,41690.95
89,2023-02-15,Mercedes GLE,South,3,64900,194700.0,140158.82,54541.18
90,2023-02-16,Mercedes C-Class,North,4,55500,222000.0,163264.9,58735.1
91,2023-02-17,Mercedes GLS,North,6,98500,591000.0,417177.6,173822.4
92,2023-02-18,Mercedes C-Class,North,6,51800,310800.0,221375.16,89424.84
93,2023-02-19,Mercedes C-Class,East,5,53500,267500.0,198715.95,68784.05
94,2023-02-19,Mercedes A-Class,West,6,35800,214800.0,157967.21,56832.79
95,2023-02-20,Mercedes GLC,East,5,52800,264000.0,190746.9,73253.1
96,2023-02-20,Mercedes GLE,South,2,76000,152000.0,109672.65,42327.35
97,2023-02-21,Mercedes GLS,East,3,87600,262800.0,181510.48,81289.52
98,2023-02-21,Mercedes E-Class,North,3,66100,198300.0,140460.18,57839.82
99,2023-02-22,Mercedes C-Class,South,4,55200,220800.0,161853.44,58946.56
